ailment,plant_common,plant_scientific,preparation,region,country,latitude,longitude,tradition_notes,cautions,evidence_level,source_url
Sore throat,Sage,Salvia officinalis,Gargle/Tea,Mediterranean,Greece,39.0,22.0,"Warm sage gargles/teas as a home remedy.","Avoid ingesting concentrated essential oil.",mixed,https://www.ema.europa.eu/en/medicines/herbal/sage
Sore throat,Saltwater,–,Warm saltwater gargle,North America,United States,39.8,-98.6,"Common home remedy to soothe irritation.","Do not swallow excessive salt; hydrate.",not-applicable,https://www.cdc.gov/groupastrep/diseases-public/sore-throat.html
Indigestion,Caraway & Fennel,Carum carvi; Foeniculum vulgare,Tea/chew seeds,Europe,Germany,51.0,10.0,"Post-meal seed teas for gas/bloating.","Essential oils can irritate; seeds typically mild.",mixed,https://www.ema.europa.eu/en/medicines/herbal/fennel-fruit
Common cold,Echinacea,Echinacea purpurea,Tea/Tincture,North America,Canada,56.0,-106.0,"Traditionally used at cold onset.","Allergic reactions possible; evidence mixed.",mixed,https://www.nccih.nih.gov/health/echinacea
Common cold,Black elderberry,Sambucus nigra,Syrup/Tea,Central Europe,Poland,52.1,19.4,"Home-made syrups/teas in some regions.","Unripe/raw parts can be toxic; cook thoroughly.",limited/low,https://www.nccih.nih.gov/health/elderberry
Minor wounds,Turmeric,Curcuma longa,Topical paste,South Asia,India,20.6,78.9,"Applied for minor skin issues in folk practice.","Topical sensitivity; staining; not for deep/open wounds.",limited/low,https://www.nccih.nih.gov/health/turmeric
Minor burns (first-degree),Aloe vera,Aloe vera,Fresh gel,Latin America,Mexico,23.6,-102.6,"Household gel for minor sunburns/irritation.","Allergy possible; not for severe burns.",mixed,https://www.nccih.nih.gov/health/aloe-vera
Insomnia,Valerian,Valeriana officinalis,Tea/Extract,Europe,Netherlands,52.0,5.0,"Bedtime tea/extract for sleep in folk use.","Drowsiness; interactions with sedatives possible.",mixed,https://www.nccih.nih.gov/health/valerian
Menstrual cramps,Chamomile,Matricaria chamomilla,Tea,Mediterranean,Lebanon,33.9,35.5,"Calming tea; used for mild cramping and sleep.","Asteraceae allergy; anticoagulant interaction possible.",limited/low,https://www.nccih.nih.gov/health/chamomile
Menstrual cramps,Fenugreek,Trigonella foenum-graecum,Seed tea,Northeast Africa,Egypt,26.8,30.8,"Spice tea used for cramps in some traditions.","May affect blood sugar; avoid in pregnancy unless advised.",limited/low,https://www.nccih.nih.gov/health/fenugreek
tension_headache,Peppermint oil,Mentha × piperita L. (aetheroleum),"Topical 10% peppermint oil in ethanol; dab on temples/forehead up to 3×/day; keep away from eyes; short-term use only.",Europe,Germany,51.1657,10.4515,"Common OTC in Germany for tension-type headache; long-standing European use.","Topical only on intact skin; avoid in infants; may irritate skin; keep away from eyes.",mixed,"https://www.ema.europa.eu/en/documents/herbal-monograph/european-union-herbal-monograph-mentha-x-piperita-l-aetheroleum-revision-1_en.pdf; https://www.nccih.nih.gov/health/peppermint-oil"
low_back_pain,Willow bark,Salix spp. (cortex),"Tea or standardized dry extract per product label for short-term lower back pain.",Europe,Germany,51.1657,10.4515,"European traditional analgesic (salicylates).","Avoid with salicylate allergy, anticoagulants, or GI ulcer; drug interactions.",some/clinical,https://www.ema.europa.eu/en/documents/herbal-monograph/final-european-union-herbal-monograph-salix-various-species-including-s-purpurea-l-s-daphnoides-vill-s-fragilis-l-cortex_en.pdf
nausea,"Ginger (root)",Zingiber officinale Roscoe,"1 g/day dried ginger in divided doses (capsules or tea) for motion sickness or pregnancy nausea; follow product label.",Asia,India,20.5937,78.9629,"Widely used across South Asia; also global.","May cause GI upset; caution in pregnancy if high doses; consult clinician.",some/clinical,"https://www.ema.europa.eu/en/medicines/herbal/zingiberis-rhizoma; https://www.nccih.nih.gov/health/ginger; https://pmc.ncbi.nlm.nih.gov/articles/PMC4818021/"
productive_cough,Thyme (leaf/herb),Thymus vulgaris/zygis (herba),"Infusion: 1–2 g herb in 150 ml hot water, 3–4×/day; or per product label.",Middle East,Lebanon,33.8547,35.8623,"Used in Levant (za’atar/thyme infusions) and across Europe for coughs.",Essential oils can irritate if concentrated; follow label.,folk-tradition,https://www.ema.europa.eu/en/medicines/herbal/thymi-herba
acute_bronchitis,"South African geranium (root extract)",Pelargonium sidoides (radix),"Standardized extract (e.g., EPs 7630) per label for up to ~7–10 days.",Africa,South Africa,-30.5595,22.9375,"Origin in Southern African traditional medicine; used globally for colds/bronchitis.",Possible GI upset; rare liver issues reported; avoid if liver disease; drug interactions possible.,mixed,https://www.ema.europa.eu/en/documents/herbal-monograph/draft-community-herbal-monograph-pelargonium-sidoides-dc-and-or-pelargonium-reniforme-curt-radix_en.pdf
cough_all_ages_over_1,Honey,Apis mellifera (honey),"1–2 tsp honey in warm water/tea as needed (adults & children ≥1 year).",North America,United States,37.0902,-95.7129,"Common remedy across cultures; CDC includes for cough relief.","Do NOT give to infants <12 months (botulism risk); caution with diabetes.",mixed,"https://www.cdc.gov/common-cold/treatment/index.html; https://www.cochrane.org/evidence/CD007094_honey-acute-cough-children"
sore_throat_gargle,Sage (gargle),Salvia officinalis L. (folium),"Gargle: ~0.5 ml fluid extract in 150 ml warm water, up to 3×/day.",Europe,Greece,39.0742,21.8243,"Mediterranean/European tradition; HMPC posology lists gargle.",Avoid during pregnancy in high doses; essential oil not for internal use.,folk-tradition,https://www.ema.europa.eu/en/documents/herbal-monograph/final-european-union-herbal-monograph-salvia-officinalis-l-folium-revision-1_en.pdf
sore_throat_gargle,Saltwater gargle,Sodium chloride solution,"½ tsp salt in a glass of warm water; gargle and spit; repeat as needed (adults).",Europe,United Kingdom,55.3781,-3.436,"NHS-recommended self-care.",Not for young children due to choking risk; do not swallow.,not-applicable,https://www.nhs.uk/symptoms/sore-throat/
dyspepsia_bloating,Chamomile (flower),Matricaria recutita (flos),"Infusion: 2–3 g in 150 ml water, 3–4×/day; or per label.",Africa,Egypt,26.8206,30.8025,"Widespread in North Africa/Europe for GI spasm and bloating.",Allergy possible (Asteraceae).,folk-tradition,https://www.ema.europa.eu/en/medicines/herbal/matricariae-flos
bloating_flatulence,"Fennel + Caraway",Foeniculum vulgare (fructus) + Carum carvi (fructus),"Tea: equal parts crushed fruits (~1–2 g total) infused; or use licensed combo products.",Asia/Europe,Turkey,38.9637,35.2433,"Very common after meals in Turkey/Germany.",Estragole exposure caution with fennel oils; avoid in biliary disorders.,folk-tradition,"https://www.ema.europa.eu/en/documents/herbal-monograph/final-european-union-herbal-monograph-foeniculum-vulgare-miller-subsp-vulgare-var-vulgare-fructus-revision-1_en.pdf; https://www.ema.europa.eu/en/medicines/herbal/carvi-fructus"
insomnia_mild_stress,Valerian (root),Valeriana officinalis (radix),"Standardized dry extract per label; single dose ½–1 h before bedtime.",Europe,United Kingdom,55.3781,-3.436,"Centuries of European use for sleep.",May cause drowsiness; GI upset; avoid with other sedatives.,mixed,"https://www.ema.europa.eu/en/medicines/herbal/valerianae-radix; https://pmc.ncbi.nlm.nih.gov/articles/PMC7585905/"
insomnia_mild_stress,Lemon balm (leaf),Melissa officinalis (folium),"Tea (1.5–4 g/150 ml) 3–4×/day for stress; evenings for sleep.",Europe,Slovenia,46.1512,14.9955,"Central/Eastern Europe calming herb.",May cause sedation; caution with thyroid issues (rare reports).,folk-tradition,https://www.ema.europa.eu/en/documents/herbal-monograph/final-community-herbal-monograph-melissa-officialis-l-folium_en.pdf
diarrhea,Guava leaf,Psidium guajava (folium),"Decoction/tea from leaves or standardized extract with oral rehydration; follow study/product protocols.",Latin America,Mexico,23.6345,-102.5528,"Traditional across Mexico/Philippines; studied for infectious diarrhea.","Does NOT replace ORS/medical care; evidence mixed; possible interactions.",mixed,"https://pmc.ncbi.nlm.nih.gov/articles/PMC7329711/; https://www.frontiersin.org/articles/10.3389/fphar.2024.1459066/full"
minor_burns_topical,Aloe gel,Aloe vera (leaf gel),"Cool burn with water, then apply plain aloe gel topically.",Latin America,Mexico,23.6345,-102.5528,"Common across tropics; also in Mexico.",Topical ok; oral latex is unsafe; allergy possible.,mixed,"https://www.nccih.nih.gov/health/aloe-vera; https://www.mayoclinic.org/drugs-supplements/aloe/art-20362267"
cough_congestion,Eucalyptus oil (inhalation),Eucalyptus globulus/polybractea/smithii (aetheroleum),"Steam inhalation with a few drops of oil; or licensed inhalation products; follow label.",Oceania,Australia,-25.2744,133.7751,"Traditional in Australia; widely used globally.",Do not use undiluted on skin; keep away from children; avoid ingestion.,folk-tradition,https://www.ema.europa.eu/en/medicines/herbal/eucalypti-aetheroleum
early_cold_symptoms,Elderflower (flower),Sambucus nigra (flos),"Infusion at onset of cold symptoms.",Europe,Poland,51.9194,19.1451,"Central/Eastern European tradition.",Allergy possible.,folk-tradition,https://www.ema.europa.eu/en/medicines/herbal/sambuci-flos
dry_cough_sore_throat,Mullein (flower),Verbascum thapsus/densiflorum/phlomoides (flos),"Infusion: 1–1.5 g dried flowers in hot water, several times daily (strain well).",Europe,Spain,40.4637,-3.7492,"Used in Iberian folk medicine; demulcent.",Pollen hairs can irritate—strain; avoid if allergic.,folk-tradition,https://www.ema.europa.eu/en/medicines/herbal/verbasci-flos
cough_sore_throat,Licorice (root),Glycyrrhiza glabra/uralensis (radix),"Tea or lozenges per label for throat/cough soothing.",Asia,Iran,32.4279,53.6880,"West/Central Asian and Chinese traditional use.","Avoid in pregnancy; can raise blood pressure/low potassium; interactions (e.g., diuretics).",folk-tradition,"https://www.ema.europa.eu/en/medicines/herbal/liquiritiae-radix; https://www.nccih.nih.gov/health/licorice-root"
